Ballots with first choice:,Number of Ballots,% of votes to KEN MIYAGISHIMA,% of votes to WILLIAM BILL MATTIACE,% of votes to exhaust,percent_sum
ALEXANDER PAIGE FRESQUEZ,106.0,50.0,28.3,21.7,100.0
BEV COURTNEY,492.0,13.41,57.32,29.27,99.99999999999999
EUGENIA (GINA) MONTOYA ORTEGA,1147.0,29.99,35.92,34.09,100.0
GREGORY Z SMITH,1433.0,47.17,31.61,21.21,99.99999999999999
ISABELLA SOLIS,664.0,25.6,48.19,26.2,99.99999999999999
JESUSITA DOLORES LUCERO,426.0,25.59,44.13,30.28,100.0
JORGE SANCHEZ,210.0,32.86,36.19,30.95,99.99999999999999
KEN MIYAGISHIMA,5172.0,100.0,0.0,0.0,100.0
MIKE A TELLEZ,1610.0,9.63,66.52,23.85,100.0
WILLIAM BILL MATTIACE,2725.0,0.0,100.0,0.0,100.0
