,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Did Not Rank
"Adkins, Lawrence J.",1.50,3.08,4.67,6.17,7.15,8.17,9.17,10.02,10.73,11.33,11.90,12.32,12.73,13.18,13.50,13.87,14.15,14.31,85.69
"Condit, James E., III",0.26,0.81,1.50,2.25,2.82,3.46,4.19,4.84,5.42,5.89,6.42,6.96,7.36,7.70,8.13,8.49,8.92,9.23,90.77
"Davis, Henrietta",9.01,17.90,26.71,33.56,38.42,42.16,44.38,45.85,46.80,47.19,47.43,47.62,47.80,47.96,48.11,48.30,48.45,48.57,51.43
"Decker, Marjorie C.",9.41,19.47,28.40,35.48,40.72,43.76,45.75,47.14,48.12,48.51,48.72,48.93,49.13,49.29,49.47,49.63,49.83,50.01,49.99
"Galluccio, Anthony D.",12.35,22.21,30.56,36.22,40.11,42.83,45.06,46.62,47.70,48.32,48.64,48.86,49.01,49.11,49.24,49.36,49.57,49.78,50.22
"Gordon, Jesse A.",3.86,6.94,10.04,12.73,15.23,17.13,18.71,19.81,20.50,21.18,21.78,22.27,22.71,23.02,23.28,23.60,23.79,23.97,76.03
"Green, Andre Lerone",1.12,2.23,3.42,4.50,5.81,6.78,7.58,8.23,8.86,9.40,9.91,10.42,10.96,11.42,11.79,12.11,12.41,12.54,87.46
"Hall, Robert Lee, Sr.",0.46,1.13,2.02,2.88,3.71,4.68,5.55,6.15,6.83,7.44,7.96,8.48,8.92,9.50,9.92,10.32,10.59,10.75,89.25
"Hees, Bill",1.22,2.24,3.18,4.01,4.81,5.65,6.55,7.26,7.93,8.34,8.87,9.33,9.91,10.33,10.88,11.27,11.46,11.65,88.35
"Kelley, Craig A.",6.43,11.05,14.26,16.95,19.20,21.26,22.80,24.10,25.03,25.53,26.02,26.50,26.83,27.27,27.60,27.93,28.20,28.35,71.65
"LaTremouille, Robert J.",0.73,1.46,2.40,3.36,4.31,5.33,6.10,6.86,7.58,8.07,8.54,9.01,9.46,9.79,10.23,10.55,10.99,11.36,88.64
"Maher, David P.",5.57,11.31,17.41,22.71,26.82,29.98,32.59,34.54,36.01,36.72,37.10,37.48,37.79,38.04,38.22,38.44,38.61,38.74,61.26
"Murphy, Brian",7.63,13.82,19.89,25.27,30.01,33.30,36.01,37.96,39.12,39.63,39.99,40.26,40.51,40.70,40.96,41.14,41.32,41.41,58.59
"Reeves, Kenneth E.",7.45,14.13,20.13,25.27,29.67,32.88,35.09,36.70,37.92,38.47,38.78,39.04,39.22,39.44,39.66,39.89,40.01,40.25,59.75
"Seidel, Sam",6.01,11.47,15.55,18.99,21.36,23.36,24.87,26.06,26.72,27.34,27.73,28.11,28.47,28.74,29.00,29.29,29.58,29.97,70.03
"Simmons, Denise",8.21,17.21,25.46,31.59,36.40,39.68,42.33,44.12,45.21,45.67,45.89,46.05,46.26,46.49,46.64,46.82,47.02,47.14,52.86
"Sullivan, Michael A.",9.04,19.90,28.85,34.14,38.29,41.39,43.31,45.02,46.43,46.86,47.11,47.33,47.52,47.72,47.89,48.06,48.23,48.36,51.64
"Toomey, Timothy J., Jr.",8.84,14.37,19.52,24.23,27.18,29.61,31.45,32.94,34.16,34.74,35.24,35.47,35.67,35.88,36.12,36.32,36.49,36.72,63.28
writeIns,0.10,0.20,0.31,0.36,0.43,0.52,0.56,0.60,0.63,0.67,0.67,0.67,0.68,0.69,0.69,0.70,0.72,0.73,99.27
