Ballots with first choice:,Number of Ballots,"% of votes to Kelley, Craig A.","% of votes to Decker, Marjorie C.","% of votes to Maher, David P.","% of votes to Davis, Henrietta","% of votes to Toomey, Jr., Timothy J.","% of votes to Cheung, Leland","% of votes to Simmons, E. Denise","% of votes to vanBeuzekom, Minka Y.","% of votes to Reeves, Kenneth E.",% of votes to exhaust,percent_sum
"Cheung, Leland",2017.0,2.88,2.97,1.44,4.12,1.14,78.58,2.23,3.87,1.59,1.19,99.99999999999999
"Davis, Henrietta",1436.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Decker, Marjorie C.",1123.0,0.0,99.64,0.0,0.0,0.0,0.0,0.0,0.09,0.18,0.09,99.99999999999999
"Kelley, Craig A.",1098.0,98.63,0.18,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.09,100.0
"Maher, David P.",1686.0,1.25,2.19,90.39,1.66,0.0,0.0,1.13,0.53,1.66,1.19,100.00000000000001
"Marquardt, Charles J.",501.0,25.95,7.58,0.0,0.0,0.0,0.0,5.59,17.76,6.79,36.33,100.0
"Mello, Gary W.",135.0,12.59,7.41,0.0,2.96,0.0,0.0,5.19,22.22,12.59,37.04,100.0
"Moree, Gregg J.",56.0,7.14,5.36,0.0,5.36,0.0,0.0,8.93,19.64,12.5,41.07,100.0
"Nelson, Matthew P.",542.0,7.75,14.76,0.0,0.0,0.0,0.0,12.92,18.27,15.5,30.81,100.0
"Pascual, Jamake",63.0,14.29,6.35,0.0,3.17,0.0,0.0,12.7,25.4,6.35,31.75,100.0
"Reeves, Kenneth E.",1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Seidel, Sam",788.0,15.99,17.39,0.0,0.0,0.0,0.0,14.97,18.91,10.15,22.59,99.99999999999999
"Simmons, E. Denise",1266.0,0.55,0.95,0.0,0.0,0.0,0.0,95.97,0.63,1.74,0.16,99.99999999999999
"Stohlman, Jr., Thomas J.",344.0,17.15,14.24,0.0,0.0,0.0,0.0,8.72,29.94,7.56,22.38,100.0
"Toomey, Jr., Timothy J.",1705.0,0.94,1.29,1.88,0.59,91.61,0.0,1.23,0.35,0.88,1.23,99.99999999999999
"Ward, Larry W.",835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.24,34.25,45.51,100.0
"Williamson, James M.",175.0,6.86,6.29,0.0,10.29,0.0,0.0,10.86,32.0,12.0,21.71,100.0
"vanBeuzekom, Minka Y.",1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
writeIns,24.0,4.17,4.17,0.0,4.17,0.0,0.0,0.0,12.5,4.17,70.83,100.0
